H1,C1,N1,O1,F1,Si1,P1,S1,H2,C2,N2,O2,F2,Si2,P2,S2,H3,C3,N3,O3,F3,Si3,P3,S3,H4,C4,N4,O4,F4,Si4,P4,S4,H5,C5,N5,O5,F5,Si5,P5,S5,H6,C6,N6,O6,F6,Si6,P6,S6,H7,C7,N7,O7,F7,Si7,P7,S7,H8,C8,N8,O8,F8,Si8,P8,S8
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0
0,2,0,0,1,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,1,0,0,4,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,4,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,4,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,4,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,1,1,0,0,0,1,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,7,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,11,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,8,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,2,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,3,0,0,0,2,1,0,0,6,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,2,1,0,1,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,1,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0
